0,=,isExperienceEligible,years_occurrence,link
1,Python developer,False,"['nge -3-12 yrs', 'p> <p> 3+ years']",https://in.indeed.com/rc/clk?jk=04ff9674436381c4&bb=u5quTmoPIMtQF_IV8R3b5ivbnIdc5ld1af_UIs-COGlYHFSgKNUGpBIyLaA-tOz2A7nknxjghzUMSudKtttk5djjFS30-eW-crfwVHuzs6g%3D&xkcb=SoCK67M3FA0BESQHMB0LbzkdCdPP&fccid=d9b9208177142548&vjs=3
2,Python Developer,True,"['i> <li>2+ years', 'opment: 2 years']",https://in.indeed.com/rc/clk?jk=210c2be3fa6cce34&bb=u5quTmoPIMtQF_IV8R3b5g1n9fKrm7hOpxIU2pNQtLCdV19fCF0SEPxrywW0Otuof2BcUeQLZY9liBP_iYRiRW8xbrl9nBZITj5WS3Lf7UM%3D&xkcb=SoA-67M3FA0BESQHMB0KbzkdCdPP&fccid=7e96689c64c3b0b8&cmp=Ethereal-machines&ti=Python+Developer&vjs=3
3,Python Developer - Fresher,True,[],https://in.indeed.com/rc/clk?jk=f2ca23a7bb5355a3&bb=u5quTmoPIMtQF_IV8R3b5kVfHF_QWVSSfSCSkZcRlxV64t9UQLDKeNrAY0oy0pJBkIOA5FPkRE9ZM3b7ZK8-9coijKeNRrcvgblyUyzNk64%3D&xkcb=SoCj67M3FA0BESQHMB0JbzkdCdPP&fccid=522759de3c355e58&vjs=3
4,Python Full Stack Developer,True,[],https://in.indeed.com/rc/clk?jk=b9533a6d24766a83&bb=u5quTmoPIMtQF_IV8R3b5mjrXOnG7ooYl1aQMku68Otk7NLpB8kZ5KZu6t4KUWSF2P07vYjddVqiT4YWRTRJMsq6wiDHKBvHKfrJcXtAU14%3D&xkcb=SoAX67M3FA0BESQHMB0IbzkdCdPP&fccid=b13612764c1c3467&cmp=Knowledge-Sprint-Technologies&ti=Full+Stack+Developer&vjs=3
5,Junior Python Developer,True,"['li>2 to 4 years', 'l work: 2 years', 'python: 2 years']",https://in.indeed.com/rc/clk?jk=48e6b5568464a0e0&bb=u5quTmoPIMtQF_IV8R3b5qOCvsrO20Y_AoFnOdwUp62Bz4JPcdJt4iFfRQJpWVUvpFL2s0z5LFvnQZCOXJjWfgiWdoAdwdycB0PcUoHUToY%3D&xkcb=SoCZ67M3FA0BESQHMB0PbzkdCdPP&fccid=2c3cb0e50099e9fe&cmp=Utah-Tech-Labs&ti=Junior+Python+Developer&vjs=3
6,Senior Python Developer,False,"['python: 4 years', 'django: 2 years']",https://in.indeed.com/rc/clk?jk=1607600cea33e9c8&bb=u5quTmoPIMtQF_IV8R3b5l_qGeW-nUIhIaL5QvISQfLMFfuNTAglaNOC5oHEO59gNHAjCi72h28sMjuLFlVK8opRhLUV0pV2BYvfycwsUIU%3D&xkcb=SoAt67M3FA0BESQHMB0ObzkdCdPP&fccid=10c211477523e34e&cmp=Hashone-Careers&ti=Python+Developer&vjs=3
7,Python Developer (Female candidates only),False,"['l> <li>2+ years', 'python: 3 years', 'l work: 3 years']",https://in.indeed.com/rc/clk?jk=28db58656a009d7a&bb=u5quTmoPIMtQF_IV8R3b5iZH1G-5R-pnPxc2ZmsoY0KIT0OaXfa7G6b9XxFVN3195BxnhGdLv1uimyxBq9x3tTmUiVq4CSxC8B2qa7C_7r0%3D&xkcb=SoCw67M3FA0BESQHMB0NbzkdCdPP&fccid=adc6a3871841e9be&cmp=HAPPLABS-SOFTWARE-LLP&ti=Python+Developer&vjs=3
8,Python Developer,False,"[' least 3+ years', 'python: 3 years', 'l work: 3 years']",https://in.indeed.com/rc/clk?jk=4cb34b94a75d6a9b&bb=u5quTmoPIMtQF_IV8R3b5rs-Rz-u-WBUTuXG6JLf-JuVVHIH5Fnl_k46SV10_6vKEK-9uZTQw1VRhoFu2bLpjgZDGHxVv5P_eTDIi3tWqVk%3D&xkcb=SoAE67M3FA0BESQHMB0MbzkdCdPP&fccid=0e7e89826eb84cd6&cmp=Majesty-Techsol&ti=Python+Developer&vjs=3
9,Python API Developer,False,"['python: 5 years', 'l work: 5 years']",https://in.indeed.com/rc/clk?jk=2a9b95da27b81754&bb=u5quTmoPIMtQF_IV8R3b5shhMK6qXWoakjNHpH2-uX3NFZmikpIFL0WWP6EeBjVMzHgwhBQhNWdfmL12wcv5vCnXAMA7aeneU91npDpZ07E%3D&xkcb=SoDt67M3FA0BESQHMB0DbzkdCdPP&fccid=65f9a90cd0fe0b36&cmp=Cybersapients&ti=Python+Developer&vjs=3
10,Senior Python Developer,False,"['s with 5+ years', 'd have 5+ years']",https://in.indeed.com/rc/clk?jk=093f4823f0fc6849&bb=u5quTmoPIMtQF_IV8R3b5lZC1hVgjX4-3Q9XRvIoSSRw5c1q6fBq205Z-tNtOkJLrmsUwOsy8GXdzLqNFCGd_5hXbxDXQIhl9F8gOx3-dYI%3D&xkcb=SoBZ67M3FA0BESQHMB0CbzkdCdPP&fccid=38c9909c51ebc4aa&cmp=Webdura-Technologies&ti=Python+Developer&vjs=3
11,Mid level Python developer,False,"['<p><b>3-5 years', 'python: 3 years', 'l work: 3 years']",https://in.indeed.com/rc/clk?jk=64cf6890f53ef2d6&bb=u5quTmoPIMtQF_IV8R3b5tE4zig15t1lJsAV7UTjvnaLsbb-xI0t8_SzTfQPXKlbr16c4fLdlAhLSDtlRW3tq3KJSgoVzwlnGxLeauu-BCg%3D&xkcb=SoDE67M3FA0BESQHMB0BbzkdCdPP&fccid=a7bf362a6bdc7462&cmp=TTM-Technologies-Private-Limited&ti=Python+Developer&vjs=3
12,Python Senior Developer,True,[],https://in.indeed.com/rc/clk?jk=20853e13ce65a5b7&bb=u5quTmoPIMtQF_IV8R3b5vawNvfYBJ-UtGCpj6SLzWjb1ej5eRuSPAHBBbioV4ALfYc0ihM55Gztza1oTMAZ_6DlQv1L6-rBtcsMpxZSZMM%3D&xkcb=SoBw67M3FA0BESQHMB0AbzkdCdPP&fccid=c67533a523c83a4c&vjs=3
13,Python Developer,False,"['e : 3 - 7 yrs', 'l> <li>3+ years', 'python: 3 years', 'django: 2 years']",https://in.indeed.com/rc/clk?jk=c7b344a31d821f7b&bb=u5quTmoPIMtQF_IV8R3b5lrkb-wHzQQEsVf-r7QsTUPmU-ZRr8LVyxynrg8pfnHf1wxUoy-s_2ffDrzCEYnN5DlfXuCKJS_77sdaio3dPbI%3D&xkcb=SoD-67M3FA0BESQHMB0HbzkdCdPP&fccid=2e616707036710a3&cmp=Dotcod-Innovation-Private-Limited&ti=Python+Developer&vjs=3
14,Python Developer,False,['least 6-7 years'],https://in.indeed.com/rc/clk?jk=8767383d1fc62cd0&bb=u5quTmoPIMtQF_IV8R3b5hEwv0yY5wj1H0zIdV7DWa4KFW7i-XKpnnSXZB944wtJnYXFNsqvhHWNKBq7eKExX7pUFwBS0G-42wIr3ZDBHuI%3D&xkcb=SoBK67M3FA0BESQHMB0GbzkdCdPP&fccid=5b9db2ea41d6b4c1&cmp=CA--One-Tech-Cloud-Inc&ti=Python+Developer&vjs=3
15,Python Developer,False,"['minimum 3 years', 'python: 3 years', 'l work: 4 years', 'django: 3 years', 'li>aws: 2 years']",https://in.indeed.com/rc/clk?jk=2c6e3f0b916bb3e0&bb=u5quTmoPIMtQF_IV8R3b5o9Qli_VooIfoSd2XBBMByvEOfuu95TnxBXatK6HTh43ShZ53pDbuahaCAZFaSpDlDyZ80XNinRD3jl6l7we_RY%3D&xkcb=SoDX67M3FA0BESQHMB0FbzkdCdPP&fccid=8e9735a1bc656e6e&cmp=Mobile-Programming-India-Pvt-Ltd&ti=Python+Developer&vjs=3
16,Quality Analyst,False,"['ul> <li>5 years', '>qa/qc: 5 years']",https://in.indeed.com/rc/clk?jk=d1947018fabe426a&bb=XZO5RZU7iZj1fcJcI-AldUUk6eztLxzEX0EDtg7kiw9v8aGuQCLBIJ1KXKP4hRqxmyMruHZMeRkZMfQA9qRMnazyiAId9WHFUZQKRBMnWfU%3D&xkcb=SoBA67M3FA0ZVXgGEL0LbzkdCdPP&fccid=f95cdd002a3a522b&cmp=NeoLotex-Business-Solutions-Pvt-Ltd&ti=Quality+Analyst&vjs=3
17,Full Stack Developer,False,"['act.js: 2 years', 'l work: 3 years', 'i>java: 2 years']",https://in.indeed.com/rc/clk?jk=8242da197392d1c1&bb=XZO5RZU7iZj1fcJcI-AldQeIZCQ9ZYI_nqxOxgBOwfeUcAqx2swHcaUHki-3GkAehzcMsQBQjnKjFVRSh-nbVDqAL4J4EKRMEevIxlS-wJA%3D&xkcb=SoD067M3FA0ZVXgGEL0KbzkdCdPP&fccid=5197b9fa9a254e2d&cmp=Loratis-SetMyCareer&ti=Full+Stack+Developer&vjs=3
18,Senior Backend Developer,False,"['nimum 3-6 years', 'l work: 4 years', 'i>java: 4 years', 'li>oop: 4 years', 'i>apis: 4 years', 'i>sdlc: 4 years']",https://in.indeed.com/rc/clk?jk=a7d6635d5cbcea09&bb=XZO5RZU7iZj1fcJcI-AldZswlA73Fy6_jFnTWqAXSw8-CP_au_Uy6HUUzrrMTZEVwvQOCK24QKk-h7AIRO-CvqLOAV707KHluFzwdEiMBCA%3D&xkcb=SoBp67M3FA0ZVXgGEL0JbzkdCdPP&fccid=417803f4e6bfed17&cmp=Healofy&ti=Back+End+Developer&vjs=3
19,Apigee-Application Developer,False,"['minimum 3 years', 'design, 1 years', 'atform, 2 years']",https://in.indeed.com/rc/clk?jk=66a47473dc9b2fbc&bb=XZO5RZU7iZj1fcJcI-AldVP4rgAV_uR3WrwsUGCYqqNrzQeEXDdGhOMok6ijATMLyln7fZZNfcRXqDTboroxuZNji4QvUY_VYWr_Ggw1N10%3D&xkcb=SoDd67M3FA0ZVXgGEL0IbzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
20,Senior Principal Consultant-Python Developer,True,[],https://in.indeed.com/rc/clk?jk=ab60cf6198673d22&bb=XZO5RZU7iZj1fcJcI-AldWErGySmNMupYvMRrWTXPZPvlDnOqKOPmxofJwERVNK2bw1VVI7yT7fFijMSbyGeGi4o_wr8ega5XB_CZdVq8Ac%3D&xkcb=SoBT67M3FA0ZVXgGEL0PbzkdCdPP&fccid=afe30394bfba1470&vjs=3
21,Machine Learning-Application Developer,True,['lltime 15 years'],https://in.indeed.com/rc/clk?jk=c2155041e368d175&bb=XZO5RZU7iZj1fcJcI-AldYWprX2umcpThqQb0_PrDVEgkXWk1GCwEbOI7GPiAiI093wFWkdyDF9N2QaN0UIiNdruHomx0GJfOXB5JIFbGQs%3D&xkcb=SoDn67M3FA0ZVXgGEL0ObzkdCdPP&fccid=a4e4e2eaf26690c9&vjs=3
22,C/Unix Developer,False,"['> <p>1-2+ years', 'rough 40+ years']",https://in.indeed.com/rc/clk?jk=9680db99d1113f3c&bb=XZO5RZU7iZj1fcJcI-AldeJzudaf58bOxyi0WYiLjnBCldHEI1Q3GjbNP_9Mcgxac4SUaRpHX_XdOkuvcv7UFFxxO8dJVQpnZ7PrSOfyuPA%3D&xkcb=SoB667M3FA0ZVXgGEL0NbzkdCdPP&fccid=cd22d01053af7669&vjs=3
23,Senior .Net Developer,False,"['<p>5 to 8 years', 'l work: 5 years']",https://in.indeed.com/rc/clk?jk=5a5cbdaca3d082df&bb=XZO5RZU7iZj1fcJcI-AldfIup0tlJBytEidqWRdxm-qMs4yO7NeGPAP2AREYdeFjsmiD27I-CHbpcX1NJwC0Nv6hWfQkYEy05_bmgTYpVjk%3D&xkcb=SoDO67M3FA0ZVXgGEL0MbzkdCdPP&fccid=b8ce45ae8793cec6&cmp=Princeton-IT-America&ti=Senior+.NET+Developer&vjs=3
24,Django Developer-Python/ORM//Id:efob,False,"['equired-3+years', 'ld have 3+years']",https://in.indeed.com/rc/clk?jk=0a580877e85c5fd2&bb=XZO5RZU7iZj1fcJcI-AldeJzudaf58bOKQrcSRwg6uXqy4MdrmGR_NtjBEI0eDD8FTyz11JOsclK0t5cAlOgpk1NqSniKHlgvOp2jkpfsD8%3D&xkcb=SoAn67M3FA0ZVXgGEL0DbzkdCdPP&fccid=6a4318d2d749f83b&cmp=GMWARE&ti=Python+Developer&vjs=3
